,player,correct,maxindex,navigate_click,person_click,cutscene_click,object_click,map_click,observation_click,notification_click,tiempo_total,basic,undefined,close,13-22,5-12,0-4
0,20090312431273200,16,931,354,249,100,59,16,8,27,935,463,401,17,420,296,165
1,20090312433251036,10,1875,801,260,112,172,64,10,28,3456,810,941,55,1297,395,139
2,20090314121766812,12,1082,385,221,98,84,18,14,34,1752,509,455,45,488,385,165
3,20090314363702160,15,1116,464,257,119,68,21,6,23,1577,523,519,21,624,296,146
4,20090314441803444,14,832,271,213,97,74,14,5,22,1275,433,340,16,424,258,107
5,20090315081004164,14,1584,776,231,114,119,36,13,34,2453,616,882,28,898,441,188
6,20090315085850788,13,996,366,217,104,54,15,9,31,2153,453,424,46,465,321,167
7,20090315101457836,15,1152,447,239,105,85,19,9,27,1569,541,510,33,557,379,164
8,20090315170769824,15,1043,371,263,119,86,18,10,22,1578,515,417,34,493,336,158
9,20090317080721164,4,1393,472,295,114,250,26,12,31,2076,741,579,26,516,686,152
10,20090317111400710,12,1329,559,246,102,122,28,17,31,3787,610,644,27,516,535,238
11,20090317414400068,13,946,356,255,94,50,20,9,28,2002,460,414,25,412,365,132
12,20090318322359292,15,1152,538,226,101,87,19,19,25,2101,469,586,33,506,433,166
13,20090318541618010,12,1257,486,279,121,61,38,11,21,1992,544,572,51,655,375,170
14,20090319012741024,6,1323,535,298,126,142,20,12,26,1691,635,608,27,530,530,215
15,20090320140443148,5,2263,1423,285,129,118,64,13,20,2793,678,1515,23,1193,783,240
16,20100007011166932,15,1133,418,293,109,80,27,7,33,1893,594,480,22,565,402,129
17,20100008103581056,15,1127,436,272,118,85,19,6,26,2813,530,486,38,606,336,131
18,20100008262217530,17,860,268,253,114,53,14,7,25,1882,480,313,18,432,263,118
19,20100009314461780,14,910,311,218,104,56,17,6,26,2155,432,364,41,455,262,142
20,20100009560590796,15,1195,536,221,102,98,23,5,23,1434,503,607,31,539,412,204
21,20100010554738616,11,996,419,226,101,60,17,8,26,1776,444,466,30,471,328,154
22,20100011033647636,14,1409,709,254,96,89,38,13,25,2122,534,775,39,863,327,175
23,20100011274731204,8,1591,795,249,113,160,19,7,26,1737,613,857,39,824,484,224
24,20100011290663880,14,948,290,264,117,45,22,6,25,1907,483,335,51,468,306,126
25,20100011394713344,16,952,357,210,103,42,17,5,23,1409,419,398,47,445,292,161
26,20100011571871700,14,949,264,288,115,87,19,8,31,2115,558,322,17,424,355,119
27,20100012014517956,17,870,317,248,98,44,17,11,26,1479,436,369,22,428,267,133
28,20100012363755750,14,862,283,238,105,49,18,9,32,1495,461,336,20,392,292,133
29,20100012492111156,10,1077,420,270,115,59,20,7,24,2428,523,477,27,541,349,151
30,20100012540000424,12,976,362,254,99,59,24,9,25,2531,489,417,17,433,344,149
31,20100012562027690,13,1207,485,299,127,56,15,5,26,1392,546,545,40,632,360,161
32,20100013473331852,12,1437,687,261,94,110,27,17,22,3380,566,757,36,774,447,171
33,20100013511751244,13,847,248,263,110,54,14,7,20,1656,479,293,24,388,299,117
34,20100014024611770,16,747,198,251,107,47,14,6,25,1565,434,237,24,347,241,116
35,20100014035994700,13,1035,400,257,117,76,19,10,22,1824,510,457,19,482,343,163
36,20100015040218188,16,747,253,215,99,39,14,6,27,1125,396,299,16,327,246,138
37,20100015283382064,17,1084,385,309,122,70,19,7,27,1648,562,430,27,545,294,187
38,20100015580955656,13,856,231,266,117,43,14,10,26,2445,490,288,27,408,296,113
39,20100016070249504,11,941,336,255,102,56,21,5,23,1694,488,379,18,499,262,128
40,20100016190952620,12,847,297,223,104,56,15,6,28,2082,426,356,20,393,250,162
41,20100017041691464,17,764,181,255,118,38,14,5,26,1500,438,215,41,360,250,110
42,20100017174504320,12,804,281,226,92,50,15,12,21,2243,413,334,21,376,284,112
43,20100017254481760,8,1667,970,308,122,140,18,7,25,2121,586,986,24,720,582,297
44,20100017263056424,13,1310,515,287,123,91,26,8,26,1780,588,586,53,669,383,209
45,20100017310338576,13,1234,457,257,113,133,21,16,41,1791,594,517,32,583,350,225
46,20100018303409816,16,1071,416,237,107,79,27,11,29,2003,517,477,22,609,253,156
47,20100018421509572,8,1037,445,243,100,57,26,10,21,2951,467,499,15,486,352,144
48,20100020201084828,8,1160,417,279,115,84,25,16,30,2015,596,477,23,542,381,179
49,20100023124078624,12,1021,410,246,104,55,24,7,32,1469,489,462,23,528,307,143
50,20100106475056520,13,1147,471,267,118,89,19,10,28,1700,527,530,30,562,373,163
51,20100107064152736,9,1248,523,272,116,89,28,11,33,1491,567,591,23,636,375,170
52,20100107145631690,15,1517,687,232,101,213,19,14,33,2354,645,761,40,612,593,263
53,20100107482652664,15,987,353,216,101,97,17,7,34,1897,489,432,22,473,310,160
54,20100107574055690,15,1410,603,270,123,138,28,7,28,1912,634,691,28,728,435,198
55,20100108361406030,8,983,353,245,96,64,20,9,31,1397,478,420,30,488,311,137
56,20100108383025864,14,1053,392,263,133,54,17,8,28,1511,520,442,27,534,289,175
57,20100108432199556,12,1065,423,244,106,75,18,13,26,2853,489,490,27,523,349,145
58,20100108444190744,13,1525,439,247,101,399,21,8,33,2712,848,605,20,572,740,164
59,20100108495321150,17,847,332,232,97,40,15,9,23,1398,414,375,16,405,269,133
60,20100108534216284,13,1145,485,272,123,59,19,6,23,2354,519,532,33,602,314,180
61,20100108574283104,15,1257,521,272,125,105,23,11,20,1986,588,596,19,546,514,143
62,20100109102870652,14,941,396,249,124,41,15,5,23,1382,446,431,14,440,281,170
63,20100109151447104,10,1374,564,294,127,185,17,12,26,2663,668,620,27,654,502,169
64,20100109162353624,11,1247,533,256,122,96,16,6,33,1803,545,612,21,585,398,198
65,20100109301649708,14,1270,550,262,117,121,22,9,22,2014,574,624,18,582,424,212
66,20100109343643120,11,873,260,245,99,51,20,11,21,1576,451,308,43,413,294,121
67,20100109380136844,10,1796,858,321,122,116,43,8,36,2228,706,983,34,1097,430,208
68,20100109441471076,8,1420,617,260,99,137,29,10,27,2123,620,708,36,681,520,178
69,20100109452581744,11,1093,364,268,116,78,19,13,26,2680,562,433,34,492,401,154
70,20100109514699030,7,1148,518,233,93,105,27,10,25,1738,503,577,21,513,399,191
71,20100109594661570,13,1062,448,223,121,67,18,5,25,1341,489,499,19,510,328,174
72,20100109595390890,17,1102,422,263,98,57,21,15,32,2437,511,500,30,579,305,172
73,20100110025276096,9,1094,451,253,103,78,18,12,26,2238,495,521,22,448,430,160
74,20100110073981440,13,866,276,221,99,82,15,10,26,1654,471,333,19,377,300,149
75,20100110082132976,14,1074,417,269,115,81,16,6,31,1704,535,465,17,505,346,168
76,20100110165348344,16,952,364,256,116,71,17,6,22,1654,461,379,41,476,290,137
77,20100110204440016,10,2073,1121,284,118,165,34,14,25,4017,709,1191,57,1217,613,173
78,20100110244127932,12,1039,336,280,120,96,23,8,29,2250,575,398,15,471,394,123
79,20100110283943724,10,1229,498,259,106,94,29,16,30,2570,572,566,27,558,434,190
80,20100110292895384,13,1490,633,290,124,179,28,5,26,1392,678,735,20,804,476,154
81,20100110312175628,15,1198,538,281,114,71,16,5,24,1615,510,586,34,565,419,168
82,20100110332615344,10,2457,1027,463,183,223,62,12,41,3134,1108,1181,57,991,1052,336
83,20100110411908996,13,2009,1103,238,99,248,44,8,25,1917,717,1184,38,1302,523,130
84,20100110453807850,13,1050,342,221,99,136,22,9,23,2218,546,412,34,468,410,131
85,20100110472592492,16,860,252,229,100,47,16,5,26,2050,411,312,54,426,261,129
86,20100110484589160,17,963,319,271,128,43,22,10,26,1702,528,369,15,474,294,144
87,20100110531537424,17,868,287,215,98,70,16,11,28,1426,445,340,27,414,266,141
88,20100110555341692,16,867,274,220,96,66,16,11,25,1829,434,328,39,423,264,133
89,20100111065473908,13,1375,607,277,119,99,27,20,24,2275,589,657,49,609,532,184
90,20100111111155972,16,695,214,213,98,36,16,7,24,1149,391,246,17,314,227,114
91,20100111131264296,14,1046,362,254,120,99,23,8,26,1580,547,424,24,547,320,135
92,20100111134429080,12,1160,424,274,120,75,16,7,25,3160,552,482,46,556,394,160
93,20100111262209730,13,934,359,226,111,61,21,8,25,1472,456,420,18,432,294,171
94,20100111275626830,15,1084,473,250,112,65,18,8,20,1651,489,530,15,568,295,171
95,20100111290365256,15,983,322,260,117,37,31,5,25,1790,516,378,27,534,269,129
96,20100111293440890,15,959,328,220,104,108,14,7,23,1581,483,391,26,449,327,136
97,20100111315145150,16,1032,409,256,102,72,15,10,31,1875,496,467,21,532,324,129
98,20100111354105336,15,1076,351,278,140,89,31,5,28,1370,573,413,26,558,306,152
99,20100111374821010,12,1094,428,215,95,100,19,13,31,1882,513,501,26,435,357,255
100,20100111434701724,5,984,308,293,113,67,19,8,20,2624,539,372,20,472,353,112
101,20100111500632376,15,1084,488,235,98,65,16,9,28,1442,465,541,22,534,339,160
102,20100111522448010,3,2831,1453,271,110,422,85,19,35,2818,1092,1632,37,1784,831,165
103,20100111522598640,15,1213,440,317,120,121,21,9,28,2142,608,501,36,622,373,166
104,20100112052121604,15,887,262,256,113,58,31,6,23,1306,502,315,22,370,346,129
105,20100112092206028,16,1073,417,229,100,79,18,11,33,1569,487,485,37,528,340,157
106,20100112114654810,16,874,293,228,104,60,19,7,29,2320,454,357,17,413,279,136
107,20100112115368144,16,1231,498,282,114,92,23,13,31,2215,572,581,27,665,351,167
108,20100112123609416,16,934,335,257,121,54,14,5,26,1737,481,384,15,433,298,149
109,20100112190353960,11,1310,625,233,111,131,16,11,29,1872,550,691,22,671,370,222
110,20100112403862880,15,830,264,225,104,69,17,9,29,1424,438,313,22,378,254,146
111,20100112422009230,12,1120,450,227,106,112,28,10,21,1568,534,516,17,487,440,140
112,20100112495997816,16,942,341,231,110,45,17,6,26,1790,438,386,42,451,287,152
113,20100112554019610,11,1210,473,236,99,138,26,10,26,3009,558,547,42,595,420,154
114,20100113121580480,11,1433,776,233,134,98,16,8,25,1642,505,829,29,743,437,198
115,20100113123469780,10,1097,402,267,117,60,19,9,24,2356,516,470,37,485,408,156
116,20100113203750424,16,886,249,263,118,66,14,13,26,1496,507,303,19,385,323,126
117,20100113204991120,15,826,306,215,97,47,18,5,25,1175,408,349,16,394,248,132
118,20100113244993790,13,1106,397,252,119,100,18,8,25,1983,541,467,31,530,352,167
119,20100113302320896,10,1039,411,273,118,62,16,10,26,1640,518,458,16,490,299,204
120,20100113302758190,14,1163,496,266,119,53,29,5,30,1863,517,566,19,679,289,134
121,20100113403690710,12,1257,526,253,143,73,22,6,23,1458,552,587,26,585,337,251
122,20100113492754664,13,906,310,228,100,59,20,7,25,1477,450,363,30,406,311,139
123,20100113551171040,12,881,255,262,113,62,15,14,26,2201,499,305,21,412,282,140
124,20100113555428456,12,1132,527,228,97,65,20,9,29,1480,468,582,30,647,318,129
125,20100113562262376,11,945,360,232,109,63,20,7,29,1135,451,415,18,487,277,123
126,20100114023265800,13,1075,405,251,124,80,19,11,30,1027,533,455,23,509,308,197
127,20100114034475190,15,991,383,257,121,59,17,6,25,1042,492,432,20,449,345,153
128,20100114080717940,14,923,305,279,115,54,17,7,25,1965,502,353,19,466,296,115
129,20100114142799520,14,863,302,226,107,48,16,8,29,1374,446,355,17,407,276,136
130,20100114185867776,15,1035,395,220,96,83,17,8,26,1685,464,458,42,453,344,193
