,maxindex,tiempo_total,navigate_per,person_per,cutscene_per,object_per,map_per,obsevation_per,notification_per,basic_per,undefined_per,close_per,13-22,5-12,0-4
0,931,935,38.02,26.75,10.74,6.34,1.72,0.86,2.9,52.55,45.52,1.93,47.67,33.6,18.73
1,1875,3456,42.72,13.87,5.97,9.17,3.41,0.53,1.49,44.85,52.1,3.05,70.84,21.57,7.59
2,1082,1752,35.58,20.43,9.06,7.76,1.66,1.29,3.14,50.45,45.09,4.46,47.01,37.09,15.9
3,1116,1577,41.58,23.03,10.66,6.09,1.88,0.54,2.06,49.2,48.82,1.98,58.54,27.77,13.7
4,832,1275,32.57,25.6,11.66,8.89,1.68,0.6,2.64,54.88,43.09,2.03,53.74,32.7,13.56
5,1584,2453,48.99,14.58,7.2,7.51,2.27,0.82,2.15,40.37,57.8,1.83,58.81,28.88,12.31
6,996,2153,36.75,21.79,10.44,5.42,1.51,0.9,3.11,49.08,45.94,4.98,48.79,33.68,17.52
7,1152,1569,38.8,20.75,9.11,7.38,1.65,0.78,2.34,49.91,47.05,3.04,50.64,34.45,14.91
8,1043,1578,35.57,25.22,11.41,8.25,1.73,0.96,2.11,53.31,43.17,3.52,49.95,34.04,16.01
9,1393,2076,33.88,21.18,8.18,17.95,1.87,0.86,2.23,55.05,43.02,1.93,38.11,50.66,11.23
10,1329,3787,42.06,18.51,7.67,9.18,2.11,1.28,2.33,47.62,50.27,2.11,40.03,41.51,18.46
11,946,2002,37.63,26.96,9.94,5.29,2.11,0.95,2.96,51.17,46.05,2.78,45.32,40.15,14.52
12,1152,2101,46.7,19.62,8.77,7.55,1.65,1.65,2.17,43.11,53.86,3.03,45.79,39.19,15.02
13,1257,1992,38.66,22.2,9.63,4.85,3.02,0.88,1.67,46.62,49.01,4.37,54.58,31.25,14.17
14,1323,1691,40.44,22.52,9.52,10.73,1.51,0.91,1.97,50.0,47.87,2.13,41.57,41.57,16.86
15,2263,2793,62.88,12.59,5.7,5.21,2.83,0.57,0.88,30.6,68.37,1.04,53.84,35.33,10.83
16,1133,1893,36.89,25.86,9.62,7.06,2.38,0.62,2.91,54.2,43.8,2.01,51.55,36.68,11.77
17,1127,2813,38.69,24.13,10.47,7.54,1.69,0.53,2.31,50.28,46.11,3.61,56.48,31.31,12.21
18,860,1882,31.16,29.42,13.26,6.16,1.63,0.81,2.91,59.19,38.59,2.22,53.14,32.35,14.51
19,910,2155,34.18,23.96,11.43,6.15,1.87,0.66,2.86,51.61,43.49,4.9,52.97,30.5,16.53
20,1195,1434,44.85,18.49,8.54,8.2,1.92,0.42,1.92,44.08,53.2,2.72,46.67,35.67,17.66
21,996,1776,42.07,22.69,10.14,6.02,1.71,0.8,2.61,47.23,49.57,3.19,49.42,34.42,16.16
22,1409,2122,50.32,18.03,6.81,6.32,2.7,0.92,1.77,39.61,57.49,2.89,63.22,23.96,12.82
